id_tiempo,fecha,año,semestre,trimestre,mes,mes_nombre,dia_semana,semana,fecha_inicio_año,fecha_fin_año,fecha_inicio_semestre,fecha_fin_semestre,fecha_inicio_trimestre,fecha_fin_trimestre,fecha_inicio_mes,fecha_fin_mes,fecha_inicio_semana,fecha_fin_semana
20200209,2020-02-09 00:00:00,2020,1,1,2,Febrero,Domingo,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
20200210,2020-02-10 00:00:00,2020,1,1,2,Febrero,Lunes,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200211,2020-02-11 00:00:00,2020,1,1,2,Febrero,Martes,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200212,2020-02-12 00:00:00,2020,1,1,2,Febrero,Miércoles,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200213,2020-02-13 00:00:00,2020,1,1,2,Febrero,Jueves,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200214,2020-02-14 00:00:00,2020,1,1,2,Febrero,Viernes,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200215,2020-02-15 00:00:00,2020,1,1,2,Febrero,Sábado,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200216,2020-02-16 00:00:00,2020,1,1,2,Febrero,Domingo,7,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-10 00:00:00,2020-02-16 00:00:00
20200217,2020-02-17 00:00:00,2020,1,1,2,Febrero,Lunes,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
20200218,2020-02-18 00:00:00,2020,1,1,2,Febrero,Martes,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
